id,postId,views,reach,likes,reposts,comments,clicksToLink,system
5856,5855,1354,489,1,0,0,5,ok
5855,5854,1338,463,0,0,0,3,ok
5854,5853,1379,497,1,0,0,3,ok
5853,5852,1485,542,2,0,0,7,ok
5852,5851,1465,489,1,0,0,6,ok
5851,5850,1559,550,0,0,0,4,ok
5850,5849,1439,495,1,0,0,1,ok
5849,5848,1505,533,1,0,0,1,ok
5848,5847,1487,532,0,0,0,5,ok
5847,5846,1562,538,0,0,0,2,ok
5846,5845,1499,517,0,0,0,0,ok
5845,5844,1442,505,0,0,0,1,ok
5844,5843,1555,571,0,0,0,0,ok
5843,5842,1545,543,0,0,0,3,ok
5842,5841,1581,585,1,0,0,4,ok
5841,5840,1449,566,0,0,0,0,ok
5840,5839,1427,542,0,0,0,3,ok
5839,5838,1521,578,0,0,1,3,ok
5838,5837,1422,575,3,0,0,9,ok
5837,5836,1334,517,0,0,0,3,ok
5836,5835,1230,481,2,0,0,4,ok
5835,5834,1332,490,3,0,0,6,ok
5834,5833,1257,474,2,0,0,3,ok
5833,5832,1290,520,0,0,0,3,ok
5832,5831,1374,532,0,0,0,6,ok
5831,5830,1401,540,1,0,0,4,ok
5830,5829,1321,518,3,0,0,4,ok
5829,5828,1290,508,0,0,0,0,ok
5828,5827,1405,559,0,0,0,3,ok
5827,5826,1335,527,0,0,0,4,ok
5826,5825,1504,589,1,0,0,2,ok
5825,5824,1628,645,1,0,0,2,ok
5824,5823,1566,590,0,0,0,4,ok
5823,5822,1416,542,0,0,0,0,ok
5822,5821,1511,542,0,0,0,3,ok
5821,5820,1709,561,0,0,0,1,ok
5820,5819,1779,576,0,0,0,3,ok
5819,5818,1822,580,0,0,0,2,ok
5818,5817,1996,643,1,0,0,3,ok
5817,5816,2348,729,3,0,0,5,ok
5816,5815,2224,678,0,0,0,6,ok
5815,5814,2209,598,1,1,0,5,ok
5814,5813,2271,621,1,0,0,5,ok
5813,5812,2298,599,1,0,0,9,ok
5812,5811,2445,682,2,0,0,7,ok
5811,5810,2543,705,0,1,0,5,ok
5810,5809,2585,734,0,0,0,5,ok
5809,5808,2502,711,0,0,0,10,ok
5808,5807,2438,657,0,0,0,1,ok
5807,5806,2538,721,1,0,0,6,ok
5806,5805,2496,668,1,0,0,0,ok
5805,5804,2709,734,0,0,1,11,ok
5804,5803,2720,746,1,0,0,3,ok
5803,5802,2885,795,0,0,0,12,ok
5802,5801,2611,668,1,0,0,3,ok
5801,5800,2891,744,1,0,0,3,ok
